0.166666667	10.873000000	108.799000000	529.410000000	644.600000000
0.333333333	10.865000000	108.704000000	529.870000000	644.360000000
0.500000000	10.858000000	108.632000000	530.400000000	643.190000000
0.666666667	10.846000000	108.559000000	530.950000000	643.740000000
0.833333333	10.839000000	108.492000000	531.480000000	643.270000000
1.000000000	10.831000000	108.414000000	532.060000000	642.120000000
1.166666667	10.826000000	108.334000000	532.640000000	641.810000000
1.333333333	10.812000000	108.246000000	533.210000000	641.460000000
1.500000000	10.803000000	108.172000000	533.790000000	641.040000000
1.666666667	10.795000000	108.087000000	534.410000000	640.690000000
1.833333333	10.786000000	108.002000000	534.950000000	641.180000000
2.000000000	10.776000000	107.922000000	535.570000000	640.760000000
2.166666667	10.762000000	107.834000000	536.130000000	639.530000000
2.333333333	10.750000000	107.746000000	537.930000000	639.160000000
2.500000000	10.742000000	107.661000000	537.280000000	638.810000000
2.666666667	10.733000000	107.580000000	537.860000000	639.250000000
2.833333333	10.723000000	107.491000000	538.430000000	638.140000000
3.000000000	10.723000000	107.412000000	538.930000000	638.720000000
3.166666667	10.706000000	107.331000000	539.510000000	637.450000000
3.333333333	10.697000000	107.243000000	540.040000000	638.020000000
3.500000000	10.690000000	107.161000000	540.560000000	637.680000000
3.666666667	10.676000000	107.086000000	541.100000000	637.280000000
3.833333333	10.667000000	107.003000000	541.640000000	636.970000000
4.000000000	10.659000000	106.925000000	542.160000000	635.850000000
4.166666667	10.649000000	106.846000000	542.690000000	636.310000000
4.333333333	10.643000000	106.766000000	543.230000000	635.230000000
4.500000000	10.635000000	106.689000000	543.760000000	635.770000000
4.666666667	10.632000000	106.604000000	544.260000000	635.480000000
4.833333333	10.624000000	106.527000000	544.790000000	634.370000000
5.000000000	10.613000000	106.446000000	545.320000000	634.850000000
5.166666667	10.603000000	106.367000000	545.870000000	634.520000000
5.333333333	10.594000000	106.280000000	546.380000000	633.400000000
5.500000000	10.582000000	106.203000000	546.870000000	633.980000000
5.666666667	10.574000000	106.116000000	547.430000000	633.690000000
5.833333333	10.563000000	106.035000000	549.400000000	632.560000000
6.000000000	10.555000000	105.959000000	548.490000000	633.110000000
6.166666667	10.542000000	105.879000000	549.030000000	632.700000000
6.333333333	10.534000000	105.794000000	549.570000000	631.640000000
6.500000000	10.528000000	105.710000000	550.090000000	632.230000000
6.666666667	10.518000000	105.629000000	550.620000000	631.890000000
6.833333333	10.510000000	105.545000000	551.170000000	630.800000000
7.000000000	10.500000000	105.465000000	551.710000000	631.330000000
7.166666667	10.496000000	105.379000000	552.230000000	631.040000000
7.333333333	10.486000000	105.296000000	552.770000000	629.990000000
7.500000000	10.477000000	105.211000000	553.330000000	629.710000000
7.666666667	10.467000000	105.125000000	553.880000000	630.220000000
7.833333333	10.455000000	105.042000000	554.420000000	629.870000000
8.000000000	10.444000000	104.958000000	555.020000000	628.790000000
8.166666667	10.443000000	104.875000000	555.550000000	629.390000000
8.333333333	10.434000000	104.785000000	556.090000000	629.020000000
8.500000000	10.422000000	104.698000000	556.680000000	627.980000000
8.666666667	10.411000000	104.614000000	557.200000000	628.520000000
8.833333333	10.400000000	104.530000000	557.780000000	628.210000000
9.000000000	10.393000000	104.444000000	558.280000000	627.220000000
9.166666667	10.388000000	104.354000000	558.860000000	627.790000000
9.333333333	10.380000000	104.269000000	559.420000000	627.520000000
9.500000000	10.370000000	104.181000000	559.970000000	627.220000000
9.666666667	10.358000000	104.098000000	560.510000000	626.950000000
9.833333333	10.350000000	104.006000000	561.110000000	626.680000000
10.000000000	10.339000000	103.921000000	561.670000000	625.680000000
10.166666667	10.330000000	103.832000000	562.230000000	626.210000000
10.333333333	10.322000000	103.744000000	562.730000000	625.950000000
10.500000000	10.308000000	103.653000000	563.350000000	624.930000000
10.666666667	10.300000000	103.569000000	563.920000000	625.490000000
10.833333333	10.296000000	103.481000000	564.460000000	625.250000000
11.000000000	10.284000000	103.388000000	565.040000000	624.250000000
11.166666667	10.276000000	103.302000000	565.620000000	624.760000000
11.333333333	10.265000000	103.210000000	566.160000000	624.480000000
11.500000000	10.254000000	103.126000000	566.740000000	623.540000000
11.666666667	10.245000000	103.035000000	567.310000000	624.070000000
11.833333333	10.240000000	102.941000000	567.900000000	623.870000000
12.000000000	10.226000000	102.853000000	568.420000000	622.870000000
12.166666667	10.217000000	102.768000000	569.010000000	622.630000000
12.333333333	10.208000000	102.672000000	569.580000000	623.150000000
12.500000000	10.196000000	102.579000000	570.170000000	622.930000000
12.666666667	10.187000000	102.486000000	570.740000000	622.120000000
12.833333333	10.177000000	102.399000000	571.320000000	622.610000000
13.000000000	10.170000000	102.307000000	571.860000000	622.330000000
13.166666667	10.159000000	102.221000000	572.440000000	621.480000000
13.333333333	10.151000000	102.129000000	572.980000000	622.020000000
13.500000000	10.141000000	102.038000000	573.600000000	621.780000000
13.666666667	10.130000000	101.944000000	574.190000000	620.890000000
13.833333333	10.121000000	101.851000000	574.760000000	621.420000000
14.000000000	10.115000000	101.756000000	575.350000000	621.250000000
14.166666667	10.112000000	101.668000000	575.910000000	620.400000000
14.333333333	10.100000000	101.569000000	576.520000000	620.940000000
14.500000000	10.091000000	101.478000000	577.090000000	620.710000000
14.666666667	10.077000000	101.384000000	577.710000000	619.870000000
14.833333333	10.065000000	101.295000000	578.250000000	620.350000000
15.000000000	10.059000000	101.198000000	578.840000000	619.560000000
15.166666667	10.050000000	101.109000000	579.420000000	620.060000000
15.333333333	10.040000000	101.015000000	580.000000000	619.870000000
15.500000000	10.030000000	100.920000000	580.580000000	619.780000000
