2216.1679;0.9546;0.5420;0.7568;1.2613;0.7161
2228.5513;0.9717;0.5518;0.7715;1.2595;0.7152
2241.0789;0.9863;0.5640;0.7910;1.2469;0.7130
2253.7502;1.0059;0.5713;0.8130;1.2372;0.7027
2266.5646;1.0181;0.5859;0.8252;1.2337;0.7101
2279.5218;1.0376;0.5981;0.8447;1.2283;0.7081
2292.6210;1.0498;0.6079;0.8521;1.2321;0.7135
2305.8616;1.0693;0.6177;0.8740;1.2235;0.7067
2319.2429;1.0791;0.6323;0.8838;1.2210;0.7155
2332.7643;1.0986;0.6397;0.9009;1.2195;0.7100
2346.4248;1.1011;0.6519;0.9082;1.2124;0.7177
2360.2238;1.1182;0.6641;0.9326;1.1990;0.7120
2374.1603;1.1255;0.6714;0.9424;1.1943;0.7124
2388.2335;1.1377;0.6836;0.9570;1.1888;0.7143
2402.4424;1.1450;0.6934;0.9692;1.1814;0.7154
2416.7861;1.1646;0.7080;0.9815;1.1866;0.7214
2431.2635;1.1743;0.7056;0.9937;1.1818;0.7101
2445.8736;1.1841;0.7178;1.0083;1.1743;0.7119
2460.6154;1.1914;0.7251;1.0230;1.1647;0.7088
2475.4877;1.2012;0.7349;1.0376;1.1577;0.7082
2490.4894;1.2134;0.7422;1.0474;1.1585;0.7086
2505.6194;1.2183;0.7495;1.0669;1.1419;0.7025
2520.8764;1.2231;0.7544;1.0791;1.1335;0.6991
2536.2592;1.2402;0.7617;1.0889;1.1390;0.6996
2551.7667;1.2476;0.7666;1.1084;1.1256;0.6916
2567.3974;1.2573;0.7764;1.1133;1.1294;0.6974
2583.1503;1.2647;0.7788;1.1255;1.1236;0.6920
2599.0238;1.2695;0.7886;1.1377;1.1159;0.6931
2615.0167;1.2769;0.7959;1.1499;1.1104;0.6921
2631.1276;1.2793;0.8032;1.1597;1.1032;0.6926
2647.3552;1.2842;0.8032;1.1719;1.0958;0.6854
2663.6980;1.2891;0.8106;1.1768;1.0954;0.6888
2680.1546;1.2915;0.8057;1.1792;1.0952;0.6832
2696.7237;1.2940;0.8154;1.1890;1.0883;0.6858
2713.4036;1.2964;0.8154;1.1939;1.0859;0.6830
2730.1931;1.2964;0.8179;1.1987;1.0815;0.6823
2747.0905;1.2988;0.8203;1.2085;1.0748;0.6788
2764.0945;1.3062;0.8325;1.2109;1.0786;0.6875
2781.2034;1.3037;0.8276;1.2231;1.0659;0.6767
2798.4158;1.3062;0.8325;1.2256;1.0657;0.6793
2815.7302;1.3086;0.8325;1.2280;1.0656;0.6779
2833.1449;1.3086;0.8398;1.2402;1.0551;0.6772
2850.6585;1.3159;0.8398;1.2451;1.0569;0.6745
2868.2694;1.3086;0.8447;1.2549;1.0428;0.6732
2885.9760;1.3135;0.8423;1.2622;1.0406;0.6673
2903.7767;1.3135;0.8521;1.2671;1.0366;0.6725
2921.6700;1.3281;0.8496;1.2769;1.0402;0.6654
2939.6543;1.3281;0.8594;1.2891;1.0303;0.6667
2957.7279;1.3379;0.8618;1.3013;1.0281;0.6623
2975.8892;1.3452;0.8691;1.3110;1.0261;0.6629
2994.1368;1.3501;0.8740;1.3257;1.0184;0.6593
3012.4688;1.3574;0.8862;1.3403;1.0128;0.6612
3030.8839;1.3672;0.8789;1.3574;1.0072;0.6475
3049.3802;1.3770;0.8936;1.3672;1.0071;0.6536
3067.9562;1.3867;0.9009;1.3892;0.9982;0.6485
3086.6103;1.3916;0.9106;1.3989;0.9948;0.6510
3105.3409;1.4087;0.9155;1.4185;0.9931;0.6454
3124.1463;1.4209;0.9302;1.4356;0.9898;0.6480
3143.0250;1.4356;0.9399;1.4575;0.9849;0.6449
3161.9752;1.4478;0.9570;1.4746;0.9818;0.6490
3180.9955;1.4600;0.9570;1.4966;0.9755;0.6395
3200.0841;1.4795;0.9741;1.5064;0.9822;0.6467
3219.2395;1.4868;0.9766;1.5356;0.9682;0.6359
3238.4600;1.5088;0.9937;1.5503;0.9732;0.6409
3257.7441;1.5283;1.0034;1.5772;0.9690;0.6362
3277.0902;1.5356;1.0205;1.5796;0.9722;0.6461
3296.4966;1.5625;1.0254;1.6113;0.9697;0.6364
3315.9617;1.5747;1.0449;1.6284;0.9670;0.6417
3335.4841;1.5967;1.0498;1.6528;0.9660;0.6352
3355.0620;1.6113;1.0791;1.6675;0.9663;0.6471
3374.6940;1.6309;1.0767;1.6943;0.9625;0.6355
3394.3784;1.6480;1.0986;1.7139;0.9615;0.6410
3414.1137;1.6699;1.0986;1.7456;0.9566;0.6294
3433.8983;1.6846;1.1231;1.7603;0.9570;0.6380
3453.7307;1.7065;1.1255;1.7920;0.9523;0.6281
3473.6094;1.7212;1.1523;1.8066;0.9527;0.6378
3493.5328;1.7456;1.1621;1.8311;0.9533;0.6347
3513.4994;1.7603;1.1816;1.8481;0.9524;0.6394
3533.5077;1.7798;1.1816;1.8750;0.9492;0.6302
3553.5562;1.8066;1.2012;1.8945;0.9536;0.6340
3573.6433;1.8237;1.2085;1.9190;0.9504;0.6298
3593.7677;1.8359;1.2256;1.9409;0.9459;0.6315
3613.9278;1.8506;1.2280;1.9580;0.9451;0.6272
3634.1222;1.8701;1.2549;1.9751;0.9469;0.6354
3654.3494;1.8921;1.2598;1.9995;0.9463;0.6300
3674.6080;1.9043;1.2769;2.0166;0.9443;0.6332
3694.8966;1.9238;1.2769;2.0313;0.9471;0.6286
3715.2137;1.9287;1.2940;2.0483;0.9416;0.6317
3735.5579;1.9482;1.2964;2.0630;0.9444;0.6284
3755.9278;1.9531;1.3086;2.0801;0.9390;0.6291
3776.3222;1.9629;1.3110;2.0898;0.9393;0.6273
3796.7395;1.9702;1.3135;2.0996;0.9384;0.6256
3817.1784;1.9824;1.3159;2.1143;0.9376;0.6224
3837.6377;1.9873;1.3281;2.1240;0.9356;0.6253
3858.1159;1.9873;1.3257;2.1314;0.9324;0.6220
3878.6117;1.9922;1.3330;2.1314;0.9347;0.6254
3899.1239;1.9922;1.3257;2.1387;0.9315;0.6199
3919.6512;1.9922;1.3281;2.1411;0.9304;0.6203
3940.1922;1.9898;1.3257;2.1387;0.9304;0.6199
3960.7458;1.9849;1.3281;2.1411;0.9270;0.6203
3981.3106;1.9849;1.3208;2.1436;0.9260;0.6162
4001.8855;1.9775;1.3232;2.1362;0.9257;0.6194
4022.4692;1.9702;1.3086;2.1411;0.9202;0.6112
4043.0606;1.9629;1.3135;2.1314;0.9210;0.6163
4063.6584;1.9556;1.3062;2.1289;0.9186;0.6135
4084.2614;1.9458;1.2964;2.1240;0.9161;0.6103
4104.8685;1.9385;1.2964;2.1167;0.9158;0.6125
4125.4786;1.9214;1.2940;2.1118;0.9098;0.6127
4146.0906;1.9165;1.2793;2.0972;0.9139;0.6100
4166.7032;1.9067;1.2793;2.0898;0.9124;0.6122
4187.3155;1.8921;1.2671;2.0728;0.9128;0.6113
4207.9263;1.8750;1.2598;2.0581;0.9110;0.6121
4228.5346;1.8604;1.2451;2.0483;0.9082;0.6079
4249.1393;1.8481;1.2402;2.0361;0.9077;0.6091
4269.7394;1.8335;1.2207;2.0215;0.9070;0.6039
4290.3338;1.8189;1.2109;2.0044;0.9074;0.6041
4310.9216;1.8018;1.2061;1.9898;0.9055;0.6061
4331.5018;1.7773;1.1987;1.9702;0.9021;0.6084
4352.0734;1.7627;1.1841;1.9531;0.9025;0.6063
4372.6354;1.7481;1.1768;1.9360;0.9029;0.6078
4393.1869;1.7285;1.1548;1.9214;0.8996;0.6010
4413.7270;1.7065;1.1401;1.8994;0.8985;0.6003
4434.2547;1.6846;1.1255;1.8799;0.8961;0.5987
4454.7693;1.6577;1.1182;1.8579;0.8923;0.6018
4475.2697;1.6455;1.1011;1.8384;0.8951;0.5989
4495.7551;1.6211;1.0913;1.8213;0.8901;0.5992
4516.2247;1.6016;1.0742;1.7993;0.8901;0.5970
4536.6777;1.5698;1.0645;1.7798;0.8820;0.5981
